2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,cityName,cityName-en,distance-Wuhan,distance-Xiaogan,distance-Huanggang,distance-Suizhou,distance-Jingzhou
1,2,2,2,3,3,3,4,4,6,6,6,9,9,11,11,12,15,17,18,18,18,18,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,太原,Taiyuan,831.600494638813,672.004756097898,851.866537655588,686.90308758061,836.507019349776
2,3,4,7,10,11,14,19,24,24,25,25,27,28,30,31,33,34,35,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,威海,Weihai,1056.17195468755,971.959782847638,1028.68994656602,1024.44892119496,1208.27738569678
3,5,5,7,9,13,16,20,26,29,35,40,45,51,53,53,59,64,66,69,69,72,73,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,娄底,Loudi,386.390994849928,503.274720358918,414.496545288355,464.990206842496,291.971674146522
22,26,55,100,173,274,399,541,628,749,918,1120,1462,1886,2141,2141,2313,2436,2541,2642,2751,2874,3009,3114,3201,3279,3320,3344,3329,3427,3429,3443,3465,3482,3501,3516,3517,3518,3518,孝感,Xiaogan,159.83289681782,0,187.881106935653,55.0134151362414,237.245937535397
,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,宁东,Ningdong,1105.38110437743,961.744200844079,1145.87763197743,946.170202486882,1012.34670733077
1,1,2,3,6,6,8,9,9,9,12,12,14,16,16,16,21,23,24,24,24,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,宁德,Ningde,665.95781180752,798.691340022516,619.14905629691,819.592668036382,820.921118775896
5,6,13,13,17,20,41,46,41,66,75,102,120,126,136,136,141,146,149,151,153,153,153,154,155,156,156,156,156,157,157,157,157,157,157,157,157,157,157,宁波,Ningbo,701.88719044,766.056869212961,647.62180597999,809.402427982602,899.475267810118
1,4,5,8,8,14,18,18,37,43,47,55,56,60,66,66,71,75,78,80,80,80,81,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,安庆,Anqing,261.057320553363,335.348345910296,207.586440548278,372.65786410102,460.436145159146
1,,,7,8,10,10,13,14,16,17,17,19,21,21,21,21,21,22,22,22,22,23,24,24,25,25,25,26,26,26,26,26,26,26,26,26,26,26,安康,Ankang,557.037301427041,468.515785885669,609.136980306222,425.140176236478,403.142304572717
,,3,7,11,14,16,20,24,24,29,33,35,37,40,40,43,44,45,46,49,50,50,51,51,51,52,52,53,53,53,53,53,53,53,53,53,53,53,安阳,Anyang,618.890898429335,465.433307610397,629.611774963824,494.281700170342,669.109579551757
,,,,,,,,,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,安顺,Anshun,948.297130862506,999.445294109669,992.306129893208,945.928292026495,767.402261442398
,,,,,,,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,定安,Dingan,1266.46569914097,1402.97407072189,1277.25898838218,1368.52913430452,1195.97048158091
,,1,1,1,1,2,2,2,3,2,2,2,4,4,5,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,定西,Dingxi,1067.49961244647,954.877446390675,1117.1310639866,921.64540220917,922.466337208733
